SKU,Name,Category,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty
10110,BONES - Smoke Pork Femur,Pet,,,FALSE,FALSE,FALSE,10,100
10111,BONES - Pig Ear,Pet,,,FALSE,FALSE,FALSE,20,200
10112,"BONES - 6"" Beef Stick",Pet,,,FALSE,FALSE,FALSE,15,150
10113,"BONES - 5-6"" Bully Stick",Pet,,,FALSE,FALSE,FALSE,20,100
10114,"BONES - 12"" Beef Stick",Pet,,,FALSE,FALSE,FALSE,20,120
10115,"BONES - 6"" Bully Chew",Pet,,,FALSE,FALSE,FALSE,15,90
10116,"BONES - 12"" Bully Chew",Pet,,,FALSE,FALSE,FALSE,25,50
10117,BONES - Braided Beef Stick,Pet,,,FALSE,FALSE,FALSE,25,50
10118,BONES - Cow Ear,Pet,,,FALSE,FALSE,FALSE,25,100
10120,Bones Premium Pet Treats Display,Display,,,FALSE,FALSE,FALSE,,
11001,RETRO RATTLERS Sunglasses,Gen Merch,,,FALSE,FALSE,FALSE,,
11020,Sunglasses Design 1,Gen Merch,,,FALSE,TRUE,FALSE,,
11025,Sunglasses Design 2,Gen Merch,,,FALSE,TRUE,FALSE,,
11050,4 Sided Spinning Sunglasses Rack (72pcs) - Display Only,Display,,,FALSE,FALSE,FALSE,,
11051,LUMEX Polarized Sunglasses - Design 1,Gen Merch,,,FALSE,FALSE,FALSE,12,300
11052,LUMEX Polarized Sunglasses - Design 2,Gen Merch,,,FALSE,FALSE,FALSE,12,300
11053,LUMEX Polarized Sunglasses - Design 3,Gen Merch,,,FALSE,FALSE,FALSE,12,300
11054,LUMEX Polarized Sunglasses - Design 4,Gen Merch,,,FALSE,FALSE,FALSE,12,300
11055,LUMEX Polarized Sunglasses - Design 5,Gen Merch,,,FALSE,FALSE,FALSE,12,300
11056,LUMEX Polarized Sunglasses - Design 6,Gen Merch,,,FALSE,FALSE,FALSE,12,300
11057,LUMEX Polarized Sunglasses - Design 7,Gen Merch,,,FALSE,FALSE,FALSE,12,300
11058,LUMEX Polarized Sunglasses - Design 8,Gen Merch,,,FALSE,FALSE,FALSE,12,300
11059,LUMEX Polarized Sunglasses - Design 9,Gen Merch,,,FALSE,FALSE,FALSE,12,300
12001,FANCY FANNYS - Pack,Gen Merch,,,FALSE,FALSE,FALSE,,
12520,ZAKS 57g Traditional Beef Jerky - Original,Meat,,CA,FALSE,FALSE,FALSE,,
12521,ZAKS 57g Traditional Beef Jerky - Teriyaki,Meat,,CA,FALSE,FALSE,FALSE,,
12522,ZAKS 57g Traditional Beef Jerky - Sweet Chili,Meat,,CA,FALSE,FALSE,FALSE,,
12531,ZAKS 57g Premium Beef Jerky - Hot Honey,Meat,,CA,FALSE,FALSE,FALSE,,
12532,ZAKS 57g Premium Beef Jerky - Maple Brown Sugar,Meat,,CA,FALSE,FALSE,FALSE,,
12533,ZAKS 57g Premium Beef Jerky - Lemon Peppered,Meat,,CA,FALSE,FALSE,FALSE,,
12534,ZAKS 57g Premium Beef Jerky - Orange Honey Teriyaki,Meat,,CA,FALSE,FALSE,FALSE,,
12535,ZAKS 57g Premium Beef Jerky - Korean BBQ,Meat,,,FALSE,FALSE,FALSE,,
12560,ZAKS 120g Big Bag Jerky - Original,Meat,,CA,FALSE,FALSE,FALSE,1,35
12561,ZAKS 120g Big Bag Jerky - Teriyaki,Meat,,CA,FALSE,FALSE,FALSE,1,35
