SKU,Name,Category,Override Category,Sort Rank,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty,MSRP,Store Price,Canco Price,Distributor Price,Inventory Lion - Warehouse YYC,Inventory Lion Imports USA Inc.,Inventory Lion USA - Broadrange Logistics,Inventory Lion USA - Gunship 3PL Utah,Inventory Lion USA - Warehouse Ferndale WA,Inventory Zaks - Edmonton Warehouse,Inventory Zaks - Main Warehouse YYC
Kit - 52000,CHEEKY MONKEY 96pc Gummy and Sour Candy Cones - Display Kit,Kits,Candy,6,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52550,Cheeky Freeze Dried Candy Spinning Rack - Kit,Kits,Candy,9,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52551,Cheeky Freeze Dried Candy 3 Flavors USA - Kit 1,Kits,,500,,US,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52552,Cheeky Freeze Dried Candy 3 Flavors USA - Kit 2,Kits,,500,,US,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52553,Cheeky Freeze Dried Candy 3 Flavors CAN - Kit 1,Kits,,500,,US,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52554,Cheeky Freeze Dried Candy 3 Flavors CAN- Kit 2,Kits,,500,,US,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52650,Novelty Candy 4 Caddy Pack - 48pcs,Kits,Candy,1,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52654,Sour Rockstar Roll Licker Candy 12pcs - Caddy,Kits,Candy,2,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52655,TNT Sour Stix Candy 12pcs - Caddy,Kits,Candy,3,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52656,Squeeze Team Heroes Candy 12pcs - Caddy,Kits,Candy,4,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 52657,Gorilla Squeeze Duo Slime Sour Candy 12pcs - Caddy,Kits,Candy,5,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 54543,ZAKS 224g Slab Jerky Counter (64pcs) - PA Kit,Kits,Meat,95,,,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 54547,ZAKS Premium Traditional Beef Jerky 120g Shipper 96pcs - Kit,Kits,Meat,-2,,CA,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 54548,THE BUTCHER Pork Jerky 90g Shipper Display 80 pcs - Kit,Kits,Meat,200,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 54549,KOKUM Beef Jerky 90g Shipper Display 80 pcs - Kit,Kits,Meat,200,AB,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 54551,THE BUTCHER Beef Jerky 90g Shipper Display 80 pcs - Kit,Kits,Meat,200,,CA,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 60102,CAMPERS - Campfire Sticks Shipper (55pcs) - Display Kit,Kits,Gen Merch,0,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 71815,TECH361 Counter Tower (48pcs) - Kit Display,Kits,Tech,60,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 72200,VOLT Velocity Counter Tower (80pcs) - Kit,Kits,Tech,5,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 91010,DIE CAST CAR Floor Display (264pcs) - Display Kit,Kits,,0,,,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 91012,DIE CAST CAR Floor Display (432pcs) - Display Kit,Kits,Die Cast Car,2,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 91016,DIE CAST CAR Single Sided Wing Rack (96pcs) - Kit,Kits,Die Cast Car,3,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 91017,DIE CAST CAR Truck Mates Bin (144pcs) - Kit,Kits,Die Cast Car,5,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 91561,THE BUTCHER Acrylic 2 Bin (50pcs) - Kit,Kits,Meat,19,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 93041,Bao Bun Squishy Toy Shipper 72pcs - Display Kit,Kits,,300,,,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 93100,3D Creatures & Minis (110pcs) - Display Kit,Kits,Gen Merch,2,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 93101,3D Minis (60pcs) - Caddy Kit,Kits,Gen Merch,4,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 93102,3D Creatures (25pcs) - Caddy Kit,Kits,Gen Merch,3,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 93105,Charm Buddies (72pcs) - Display Kit,Kits,Gen Merch,5,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - 93140,Bao Bun Squishy Toy Caddy 18pcs - Display Kit,Kits,Gen Merch,1,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - Double Double,Cheeky Monkey Double Double Promo,,,0,,,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - Spinner FD,Kit - Spinner Rack for Freeze Dried,Display,Candy,18,,,FALSE,FALSE,FALSE,,,0,,,,0,0,0,0,0,0,0
Kit - THE BUTCHER Clip Rack,THE BUTCHER Clip Rack Display 5.3oz (60pcs) - Kit,Kits,Meat,500,,US,FALSE,TRUE,FALSE,,,0,,,,0,0,0,0,0,0,0
RBU-50527,ELECTION STICKERS - Republican Bumper,Gen Merch,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
RLG-50521,ELECTION STICKERS - Republican Large,Gen Merch,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
RM-50522,ELECTION STICKERS - Republican Medium,Gen Merch,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
RS-50525,ELECTION STICKERS - Republican Small,Gen Merch,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB002,BLADES:SMALL POCKET BLADE 002,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB003,BLADES:SMALL POCKET BLADE 003,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB004,BLADES:SMALL POCKET BLADE 004,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
SPB005,BLADES:SMALL POCKET BLADE 005,Blades,,300,,,FALSE,TRUE,FALSE,,,0,0,,0,0,0,0,0,0,0,0
